case_key,display_name,dataset,split,utt_id,label,attack,variant,prob_fake,decision_margin,pred_label,true_label_support
case_2019_fake,2019 LA fake,2019_LA,dev,LA_D_7771514,spoof,A01,reference,0.9864613716053608,1.2002274161700774,spoof,0.9864613716053608
case_2019_fake,2019 LA fake,2019_LA,dev,LA_D_7771514,spoof,A01,keep_low,0.9999999953648248,2.8270795671843967,spoof,0.9999999953648248
case_2019_fake,2019 LA fake,2019_LA,dev,LA_D_7771514,spoof,A01,drop_low,0.9162413092710341,1.3013170985285192,spoof,0.9162413092710341
case_2019_fake,2019 LA fake,2019_LA,dev,LA_D_7771514,spoof,A01,keep_low_h1,0.9999969146035103,2.613239836232537,spoof,0.9999969146035103
case_2019_fake,2019 LA fake,2019_LA,dev,LA_D_7771514,spoof,A01,keep_low_h0,0.8941361528879906,1.0068340224616346,spoof,0.8941361528879906
case_2019_fake,2019 LA fake,2019_LA,dev,LA_D_7771514,spoof,A01,gate_off,0.9889981837674857,1.287477403835231,spoof,0.9889981837674857
case_2021_fake,2021 LA fake,2021_LA,internal_dev,LA_E_4158916,spoof,A07,reference,0.9999975308293115,2.787907352916352,spoof,0.9999975308293115
case_2021_fake,2021 LA fake,2021_LA,internal_dev,LA_E_4158916,spoof,A07,keep_low,0.9999999967607748,3.836656424995051,spoof,0.9999999967607748
case_2021_fake,2021 LA fake,2021_LA,internal_dev,LA_E_4158916,spoof,A07,drop_low,0.9967401111465349,2.361277234336786,spoof,0.9967401111465349
case_2021_fake,2021 LA fake,2021_LA,internal_dev,LA_E_4158916,spoof,A07,keep_low_h1,0.999999312721267,3.3158002321686553,spoof,0.999999312721267
case_2021_fake,2021 LA fake,2021_LA,internal_dev,LA_E_4158916,spoof,A07,keep_low_h0,0.9683888185723365,1.441996865133916,spoof,0.9683888185723365
case_2021_fake,2021 LA fake,2021_LA,internal_dev,LA_E_4158916,spoof,A07,gate_off,0.9999999799098709,3.4751176247477225,spoof,0.9999999799098709
case_2021_bonafide,2021 LA bona fide,2021_LA,internal_dev,LA_E_9616893,bonafide,-,reference,0.9714055406748723,1.4135225591362834,spoof,0.02859445932512772
case_2021_bonafide,2021 LA bona fide,2021_LA,internal_dev,LA_E_9616893,bonafide,-,keep_low,0.0897064764190804,-0.8605594263020504,bonafide,0.9102935235809196
case_2021_bonafide,2021 LA bona fide,2021_LA,internal_dev,LA_E_9616893,bonafide,-,drop_low,0.9649640119769729,1.380791039016131,spoof,0.0350359880230271
case_2021_bonafide,2021 LA bona fide,2021_LA,internal_dev,LA_E_9616893,bonafide,-,keep_low_h1,0.01761885795139421,-1.7357285273334917,bonafide,0.9823811420486058
case_2021_bonafide,2021 LA bona fide,2021_LA,internal_dev,LA_E_9616893,bonafide,-,keep_low_h0,0.9683888185723365,1.441996865133916,spoof,0.031611181427663504
case_2021_bonafide,2021 LA bona fide,2021_LA,internal_dev,LA_E_9616893,bonafide,-,gate_off,0.06942496079800463,-0.9669828199919985,bonafide,0.9305750392019954
case_2021_failure,2021 LA failure case,2021_LA,internal_dev,LA_E_3557123,bonafide,-,reference,0.9952313491456521,2.130574624201053,spoof,0.004768650854347856
case_2021_failure,2021 LA failure case,2021_LA,internal_dev,LA_E_3557123,bonafide,-,keep_low,0.9999961543793567,2.5215142068471375,spoof,3.845620643261327e-06
case_2021_failure,2021 LA failure case,2021_LA,internal_dev,LA_E_3557123,bonafide,-,drop_low,0.9823797845061938,1.668169025768301,spoof,0.017620215493806213
case_2021_failure,2021 LA failure case,2021_LA,internal_dev,LA_E_3557123,bonafide,-,keep_low_h1,0.9884066238276167,1.9323864981443122,spoof,0.011593376172383318
case_2021_failure,2021 LA failure case,2021_LA,internal_dev,LA_E_3557123,bonafide,-,keep_low_h0,0.9683888185723365,1.441996865133916,spoof,0.031611181427663504
case_2021_failure,2021 LA failure case,2021_LA,internal_dev,LA_E_3557123,bonafide,-,gate_off,0.991466720641073,1.7526083532028567,spoof,0.008533279358927004
